,titulo,endereco,preco,quartos,suites,banheiros,vagas,privativos,total,infra,coordenadas,link
100,Apartamento 3 Quartos Centro 105m²,"Avenida Avenida Atlântica, 740, Centro - Balneário Camboriú/SC","R$ 1.290.000,00",3,1,2,1,105 M2,120 M2,[],"https://www.google.com/maps/embed/v1/place?key=AIzaSyDQYuT0z8Dx2I9npdE3gXPaHZhPmt0SzXo&q=-26.976305, -48.63548000000001&zoom=16",https://maximoveis.com.br/imovel/11032/apartamento-3-quartos-albany-centro-balneario-camboriu/
101,Apartamento 2 Quartos São Vicente 86m²,"Rua Sátyro Loureiro, 771, São Vicente - Itajaí/SC","R$ 423.100,00",2,1,2,1,86 M2,132 M2,"['Interfone', 'Lavanderia', 'Salão de Festas', 'Terraço Coletivo']","https://www.google.com/maps/embed/v1/place?key=AIzaSyDQYuT0z8Dx2I9npdE3gXPaHZhPmt0SzXo&q=-26.9121045, -48.6986548&zoom=16",https://maximoveis.com.br/imovel/11423/apartamento-2-quartos-dona-adelia-sao-vicente-itajai/
102,Apartamento 2 Quartos Itaipava 44m²,"Rua Maria De Souza Gonçalves, 38, Itaipava - Itajaí/SC","R$ 220.000,00",2,,1,1,44 M2,49 M2,"['Churrasqueira Condominial', 'Condomínio Fechado', 'Estacionamento', 'Interfone', 'Piscina Coletiva', 'Playground', 'Quadra de Esportes', 'Salão de Festas']","https://www.google.com/maps/embed/v1/place?key=AIzaSyDQYuT0z8Dx2I9npdE3gXPaHZhPmt0SzXo&q=-26.9434091, -48.7474332&zoom=16",https://maximoveis.com.br/imovel/12708/apartamento-2-quartos-luna-bella-itaipava-itajai/
103,Apartamento 3 Quartos Centro 223m²,"Rua Frederico Augusto Luiz Thieme, 140, Centro - Itajaí/SC","R$ 1.490.000,00",3,1,3,1,223 M2,309 M2,"['Elevador', 'Interfone', 'Piscina Coletiva', 'Piscina Infantil', 'Portaria 24 horas', 'Salão de Festas']","https://www.google.com/maps/embed/v1/place?key=AIzaSyDQYuT0z8Dx2I9npdE3gXPaHZhPmt0SzXo&q=-26.908327, -48.663771&zoom=16",https://maximoveis.com.br/imovel/3565/apartamento-3-quartos-residencial-paraiso-centro-itajai/
104,Apartamento 3 Quartos Ressacada 153m²,"Rua Itapoá, 180, Ressacada - Itajaí/SC","R$ 1.600.000,00",3,1,3,3,153 M2,194 M2,"['Churrasqueira Condominial', 'Condomínio Fechado', 'Elevador', 'Espaço Gourmet', 'Piscina Coletiva', 'Piscina Infantil', 'Playground', 'Salão de Festas', 'Sauna Condominial']","https://www.google.com/maps/embed/v1/place?key=AIzaSyDQYuT0z8Dx2I9npdE3gXPaHZhPmt0SzXo&q=-26.9264163, -48.6815479&zoom=16",https://maximoveis.com.br/imovel/11877/apartamento-3-quartos-duetto-ressacada-itajai/
105,Apartamento 2 Quartos São Pedro 130m²,"Avenida Prefeito Cirino Adolfo Cabral, 373, São Pedro - Navegantes/SC","R$ 1.103.200,00",2,2,3,1,130 M2,,"['Aquecimento Central', 'Brinquedoteca', 'Elevador', 'Elevador de Serviço', 'Espaço Gourmet', 'Interfone', 'Piscina Coletiva', 'Piscina Infantil', 'Playground', 'Portaria 24 horas', 'Sala Fitness', 'Salão de Festas', 'Spa', 'Vigilância 24 horas']","https://www.google.com/maps/embed/v1/place?key=AIzaSyDQYuT0z8Dx2I9npdE3gXPaHZhPmt0SzXo&q=-26.9051232, -48.644575&zoom=16",https://maximoveis.com.br/imovel/8856/apartamento-2-quartos-vila-imperial-sao-pedro-navegantes/
106,Apartamento 3 Quartos Fazenda 149m²,"Rua Camboriú, 1112, Fazenda - Itajaí/SC","R$ 1.870.000,00",3,1,3,2,149 M2,248 M2,"['Brinquedoteca', 'Elevador', 'Espaço Gourmet', 'Interfone', 'Piscina Coletiva', 'Playground', 'Portaria 24 horas', 'Sala Fitness', 'Salão de Festas', 'Salão de Jogos', 'Sauna Condominial']","https://www.google.com/maps/embed/v1/place?key=AIzaSyDQYuT0z8Dx2I9npdE3gXPaHZhPmt0SzXo&q=-26.9171653, -48.6542296&zoom=16",https://maximoveis.com.br/imovel/11205/apartamento-3-quartos-brisa-do-mar-fazenda-itajai/
107,Apartamento 3 Quartos Ressacada 101m²,"Avenida Vereador Abrahão João Francisco, 3385, Ressacada - Itajaí/SC","R$ 850.000,00",3,3,4,2,101 M2,158 M2,"['Bicicletário', 'Brinquedoteca', 'Churrasqueira Condominial', 'Elevador', 'Elevador de Serviço', 'Estacionamento', 'Interfone', 'Piscina Coletiva', 'Piscina Infantil', 'Portaria', 'Portaria 24 horas', 'Quadra de Esportes', 'Salão de Festas', 'Spa', 'Terraço Coletivo']","https://www.google.com/maps/embed/v1/place?key=AIzaSyDQYuT0z8Dx2I9npdE3gXPaHZhPmt0SzXo&q=-26.9264053, -48.6792594&zoom=16",https://maximoveis.com.br/imovel/11288/apartamento-3-quartos-life-residence-ressacada-itajai/
108,Apartamento 2 Quartos Praia Brava 88m²,"Rua Maria Das Dores Santos Müller, 166, Praia Brava - Itajaí/SC","R$ 1.490.000,00",2,1,2,1,88 M2,108 M2,"['Condomínio Fechado', 'Elevador', 'Interfone', 'Piscina Coletiva', 'Sala Fitness', 'Salão de Festas']","https://www.google.com/maps/embed/v1/place?key=AIzaSyDQYuT0z8Dx2I9npdE3gXPaHZhPmt0SzXo&q=-26.9489784, -48.6310805&zoom=16",https://maximoveis.com.br/imovel/10625/apartamento-2-quartos-emerald-residence-praia-brava-itajai/
109,Apartamento 3 Quartos Centro 110m²,"Rua Quinze De Novembro, 239, Centro - Itajaí/SC","R$ 1.090.000,00",3,1,3,2,110 M2,159 M2,"['Condomínio Fechado', 'Elevador', 'Interfone', 'Sala Fitness', 'Salão de Festas']","https://www.google.com/maps/embed/v1/place?key=AIzaSyDQYuT0z8Dx2I9npdE3gXPaHZhPmt0SzXo&q=-26.9072827, -48.6559458&zoom=16",https://maximoveis.com.br/imovel/12154/apartamento-3-quartos-bellaggio-residenze-centro-itajai/
110,Apartamento 2 Quartos Nações 81m²,"Rua Líbia, 350, Nações - Balneário Camboriú/SC","R$ 765.000,00",2,1,2,1,81 M2,146 M2,"['Elevador', 'Gás Central', 'Interfone', 'Sala Fitness', 'Salão de Festas', 'Salão de Jogos']","https://www.google.com/maps/embed/v1/place?key=AIzaSyDQYuT0z8Dx2I9npdE3gXPaHZhPmt0SzXo&q=-26.9795376, -48.6461842&zoom=16",https://maximoveis.com.br/imovel/12406/apartamento-2-quartos-lago-de-maracaibo-na%C3%A7oes-balneario-camboriu/
111,Apartamento 2 Quartos São Vicente 61m²,"Rua Israel De Almeida, 773, São Vicente - Itajaí/SC","R$ 420.000,00",2,1,1,1,61 M2,100 M2,"['Condomínio Fechado', 'Elevador', 'Espaço Gourmet', 'Interfone', 'Playground', 'Salão de Festas', 'Salão de Jogos']","https://www.google.com/maps/embed/v1/place?key=AIzaSyDQYuT0z8Dx2I9npdE3gXPaHZhPmt0SzXo&q=-26.9111891, -48.70384319999999&zoom=16",https://maximoveis.com.br/imovel/10589/apartamento-2-quartos-libra-concept-residence-sao-vicente-itajai/
112,Apartamento 2 Quartos Centro 72m²,"Rua José Honório Cardoso, 78, Centro - Navegantes/SC","R$ 432.475,00",2,2,3,2,72 M2,,"['Elevador', 'Estacionamento']","https://www.google.com/maps/embed/v1/place?key=AIzaSyDQYuT0z8Dx2I9npdE3gXPaHZhPmt0SzXo&q=-26.8919264, -48.6509881&zoom=16",https://maximoveis.com.br/imovel/12746/apartamento-2-quartos-residencial-puerto-soleil-centro-navegantes/
113,Apartamento 3 Quartos Fazenda 144m²,"Lauro Muller, 1200, Fazenda - Itajaí/SC","R$ 2.450.000,00",3,1,3,2,144 M2,228 M2,"['Brinquedoteca', 'Churrasqueira Condominial', 'Elevador', 'Elevador de Serviço', 'Espaço Gourmet', 'Interfone', 'Piscina Coletiva', 'Piscina Infantil', 'Playground', 'Porteiro Eletrônico', 'Quiosque', 'Sala Fitness', 'Salão de Festas', 'Salão de Jogos', 'Spa', 'Zelador']","https://www.google.com/maps/embed/v1/place?key=AIzaSyDQYuT0z8Dx2I9npdE3gXPaHZhPmt0SzXo&q=-26.9159154, -48.6538878&zoom=16",https://maximoveis.com.br/imovel/12879/apartamento-3-quartos-marine-vision-fazenda-itajai/
114,Apartamento 3 Quartos Fazenda 154m²,"Rua Camboriú, 465, Fazenda - Itajaí/SC","R$ 1.950.000,00",3,3,4,3,154 M2,189 M2,"['Bicicletário', 'Brinquedoteca', 'Churrasqueira Condominial', 'Circuito Fechado de TV', 'Depósito', 'Elevador', 'Espaço Gourmet', 'Gás Central', 'Guarita', 'Interfone', 'Piscina Coletiva', 'Piscina Infantil', 'Playground', 'Portaria', 'Sala Fitness', 'Salão de Festas', 'Salão de Jogos']","https://www.google.com/maps/embed/v1/place?key=AIzaSyDQYuT0z8Dx2I9npdE3gXPaHZhPmt0SzXo&q=-26.911917, -48.6562182&zoom=16",https://maximoveis.com.br/imovel/12028/apartamento-3-quartos-valencia-fazenda-itajai/
115,Apartamento 2 Quartos São Vicente 59m²,"Rua Higina De Andrade Correa, 312, São Vicente - Itajaí/SC","R$ 300.000,00",2,,1,1,59 M2,64 M2,[],"https://www.google.com/maps/embed/v1/place?key=AIzaSyDQYuT0z8Dx2I9npdE3gXPaHZhPmt0SzXo&q=-26.9105046, -48.7042688&zoom=16",https://maximoveis.com.br/imovel/12582/apartamento-2-quartos-condominio-residencial-victoria-sao-vicente-itajai/
116,Apartamento 2 Quartos Espinheiros 55m²,"Rua Fermino Vieira Cordeiro, 1284, Espinheiros - Itajaí/SC","R$ 270.000,00",2,,1,1,55 M2,63 M2,"['Estacionamento', 'Playground', 'Portaria', 'Salão de Festas']","https://www.google.com/maps/embed/v1/place?key=AIzaSyDQYuT0z8Dx2I9npdE3gXPaHZhPmt0SzXo&q=-26.8961288, -48.731337&zoom=16",https://maximoveis.com.br/imovel/12738/apartamento-2-quartos-carolina-dal%C3%A7oquio-espinheiros-itajai/
117,Apartamento 3 Quartos Centro 82m²,"Rua Pereira Neto, 189, Centro - Itajaí/SC","R$ 850.000,00",3,1,2,2,82 M2,130 M2,"['Brinquedoteca', 'Circuito Fechado de TV', 'Condomínio Fechado', 'Elevador', 'Espaço Gourmet', 'Interfone', 'Piscina Aquecida', 'Piscina Coletiva', 'Piscina Infantil', 'Playground', 'Sala Fitness', 'Salão de Festas', 'Vigilância 24 horas']","https://www.google.com/maps/embed/v1/place?key=AIzaSyDQYuT0z8Dx2I9npdE3gXPaHZhPmt0SzXo&q=-26.906686, -48.6675619&zoom=16",https://maximoveis.com.br/imovel/11325/apartamento-3-quartos-lottus-residence-centro-itajai/
118,Apartamento 4 Quartos Cabeçudas 361m²,"Rua Juvêncio Tavares Do Amaral, 362, Cabeçudas - Itajaí/SC","R$ 2.700.000,00",4,2,5,1,361 M2,514 M2,[],"https://www.google.com/maps/embed/v1/place?key=AIzaSyDQYuT0z8Dx2I9npdE3gXPaHZhPmt0SzXo&q=-26.9273744, -48.6335776&zoom=16",https://maximoveis.com.br/imovel/9494/apartamento-4-quartos-olympicos-cabe%C3%A7udas-itajai/
119,Apartamento 2 Quartos Centro 63m²,"Rua Carmem Linhares De Souza, 451, Centro - Navegantes/SC","R$ 349.000,00",2,1,2,1,63 M2,,['Estacionamento'],"https://www.google.com/maps/embed/v1/place?key=AIzaSyDQYuT0z8Dx2I9npdE3gXPaHZhPmt0SzXo&q=-26.8912158, -48.6512046&zoom=16",https://maximoveis.com.br/imovel/12593/apartamento-2-quartos-residencial-ilhas-maldivas-centro-navegantes/
120,Apartamento 2 Quartos São Vicente 58m²,"Rua São Vicente, 251, São Vicente - Itajaí/SC","R$ 476.000,00",2,,1,1,58 M2,,"['Bicicletário', 'Brinquedoteca', 'Churrasqueira Condominial', 'Condomínio Fechado', 'Elevador', 'Espaço Gourmet', 'Interfone', 'Jardim', 'Lavanderia', 'Piscina Coletiva', 'Playground', 'Quadra de Esportes', 'Quadra de Tênis', 'Quiosque', 'Sala Fitness', 'Salão de Festas', 'Salão de Jogos']","https://www.google.com/maps/embed/v1/place?key=AIzaSyDQYuT0z8Dx2I9npdE3gXPaHZhPmt0SzXo&q=-26.8999044, -48.687016&zoom=16",https://maximoveis.com.br/imovel/7398/apartamento-2-quartos-sao-vicente-home-club-sao-vicente-itajai/
121,Apartamento 3 Quartos Centro 149m²,"Rua 1131, 253, Centro - Balneário Camboriú/SC","R$ 3.000.000,00",3,3,3,3,149 M2,201 M2,"['Bicicletário', 'Brinquedoteca', 'Churrasqueira Condominial', 'Depósito', 'Elevador', 'Elevador de Serviço', 'Espaço Gourmet', 'Gás Central', 'Guarita', 'Interfone', 'Piscina Coletiva', 'Piscina Infantil', 'Playground', 'Portaria', 'Sala Fitness', 'Salão de Festas', 'Salão de Jogos', 'Zelador']","https://www.google.com/maps/embed/v1/place?key=AIzaSyDQYuT0z8Dx2I9npdE3gXPaHZhPmt0SzXo&q=-26.9803873, -48.638738&zoom=16",https://maximoveis.com.br/imovel/11860/apartamento-3-quartos-torre-esmeralda-centro-balneario-camboriu/
122,Apartamento 4 Quartos Fazenda 519m²,"Rua Jorge Tzachel, 344, Fazenda - Itajaí/SC","R$ 3.500.000,00",4,4,5,6,519 M2,689 M2,"['Condomínio Fechado', 'Depósito', 'Elevador', 'Elevador de Serviço', 'Empresa de Monitoramento', 'Estacionamento', 'Guarita', 'Interfone', 'Sala Fitness', 'Zelador']","https://www.google.com/maps/embed/v1/place?key=AIzaSyDQYuT0z8Dx2I9npdE3gXPaHZhPmt0SzXo&q=-26.91964577260953, -48.65058163914796&zoom=16",https://maximoveis.com.br/imovel/3762/apartamento-4-quartos-edith-bernardes-fazenda-itajai/
123,Apartamento 2 Quartos São João 72m²,"Rua José Pereira Liberato, 1123, São João - Itajaí/SC","R$ 490.000,00",2,1,1,1,72 M2,72 M2,"['Churrasqueira Condominial', 'Condomínio Fechado', 'Elevador', 'Interfone', 'Piscina Coletiva', 'Playground', 'Sala Fitness', 'Salão de Festas']","https://www.google.com/maps/embed/v1/place?key=AIzaSyDQYuT0z8Dx2I9npdE3gXPaHZhPmt0SzXo&q=-26.9017714, -48.68297829999999&zoom=16",https://maximoveis.com.br/imovel/4414/apartamento-2-quartos-monier-sao-joao-itajai/
124,Apartamento 3 Quartos Vila Operária 95m²,"Rua Alberto Werner, 615, Vila Operária - Itajaí/SC","R$ 850.000,00",3,1,2,2,95 M2,122 M2,"['Elevador', 'Interfone', 'Piscina Coletiva', 'Salão de Festas']","https://www.google.com/maps/embed/v1/place?key=AIzaSyDQYuT0z8Dx2I9npdE3gXPaHZhPmt0SzXo&q=-26.9110411, -48.6694203&zoom=16",https://maximoveis.com.br/imovel/10425/apartamento-3-quartos-renoir-vila-operaria-itajai/
125,Apartamento 3 Quartos São Judas 80m²,"Rua Santo Antônio, 283, São Judas - Itajaí/SC","R$ 833.000,00",3,1,2,1,80 M2,,"['Bicicletário', 'Elevador de Serviço', 'Espaço Gourmet', 'Estacionamento', 'Gás Central', 'Interfone', 'Lavanderia', 'Piscina Coletiva', 'Piscina Infantil', 'Playground', 'Portaria', 'Portaria 24 horas', 'Porteiro Eletrônico', 'Sala Fitness', 'Salão de Festas', 'Salão de Jogos', 'Spa']","https://www.google.com/maps/embed/v1/place?key=AIzaSyDQYuT0z8Dx2I9npdE3gXPaHZhPmt0SzXo&q=-26.908926, -48.676917&zoom=16",https://maximoveis.com.br/imovel/8428/apartamento-3-quartos-atmos-blue-sao-judas-itajai/
126,Apartamento 2 Quartos Centro 65m²,"Rua Maria Lídia Bento, 600, Centro - Navegantes/SC","R$ 349.000,00",2,1,2,1,65 M2,,[],"https://www.google.com/maps/embed/v1/place?key=AIzaSyDQYuT0z8Dx2I9npdE3gXPaHZhPmt0SzXo&q=-26.8868054, -48.6519075&zoom=16",https://maximoveis.com.br/imovel/10403/apartamento-2-quartos-ravello-residencial-centro-navegantes/
127,Apartamento 2 Quartos Meia Praia 59m²,"Rua Rua Geraldo José Borba, 646, Meia Praia - Navegantes/SC","R$ 325.000,00",2,1,2,1,59 M2,,['Estacionamento'],"https://www.google.com/maps/embed/v1/place?key=AIzaSyDQYuT0z8Dx2I9npdE3gXPaHZhPmt0SzXo&q=-26.8553618, -48.6447943&zoom=16",https://maximoveis.com.br/imovel/12715/apartamento-2-quartos-residencial-verona-meia-praia-navegantes/
128,Apartamento 2 Quartos Barra Do Rio 56m²,"Rua Curt Hering, 27, Barra Do Rio - Itajaí/SC","R$ 545.000,00",2,1,2,1,56 M2,64 M2,"['Churrasqueira Condominial', 'Condomínio Fechado', 'Elevador', 'Interfone', 'Piscina Coletiva', 'Piscina Infantil', 'Playground', 'Portaria', 'Portaria 24 horas', 'Quadra de Esportes', 'Sala Fitness', 'Salão de Festas', 'Salão de Jogos', 'Segurança Patrimonial', 'Vigilância 24 horas']","https://www.google.com/maps/embed/v1/place?key=AIzaSyDQYuT0z8Dx2I9npdE3gXPaHZhPmt0SzXo&q=-26.8881807, -48.6802719&zoom=16",https://maximoveis.com.br/imovel/12057/apartamento-2-quartos-barra-garden-barra-do-rio-itajai/
129,Apartamento 3 Quartos Centro 123m²,"Rua Quinze De Novembro, 500, Centro - Itajaí/SC","R$ 1.400.000,00",3,3,4,2,123 M2,190 M2,"['Brinquedoteca', 'Condomínio Fechado', 'Elevador', 'Interfone', 'Piscina Coletiva', 'Piscina Infantil', 'Sala Fitness', 'Salão de Festas']","https://www.google.com/maps/embed/v1/place?key=AIzaSyDQYuT0z8Dx2I9npdE3gXPaHZhPmt0SzXo&q=-26.9082859, -48.6775167&zoom=16",https://maximoveis.com.br/imovel/12379/apartamento-3-quartos-november-residence-centro-itajai/
130,Apartamento 2 Quartos Fazenda 71m²,"Rua Onze De Junho, 309, Fazenda - Itajaí/SC","R$ 750.000,00",2,1,2,1,71 M2,100 M2,"['Brinquedoteca', 'Condomínio Fechado', 'Elevador', 'Elevador de Serviço', 'Espaço Gourmet', 'Estacionamento', 'Gás Central', 'Interfone', 'Piscina Coletiva', 'Piscina Infantil', 'Playground', 'Sala Fitness', 'Salão de Festas', 'Salão de Jogos', 'Sauna Condominial', 'Terraço Coletivo', 'Zelador']","https://www.google.com/maps/embed/v1/place?key=AIzaSyDQYuT0z8Dx2I9npdE3gXPaHZhPmt0SzXo&q=-26.9226795, -48.65146739999999&zoom=16",https://maximoveis.com.br/imovel/10991/apartamento-2-quartos-you-new-style-fazenda-itajai/
131,Apartamento 2 Quartos Fazenda 75m²,"Rua Camboriú, 673, Fazenda - Itajaí/SC","R$ 847.500,00",2,2,2,1,75 M2,117 M2,"['Brinquedoteca', 'Churrasqueira Condominial', 'Circuito Fechado de TV', 'Condomínio Fechado', 'Elevador', 'Espaço Gourmet', 'Gás Central', 'Guarita', 'Heliponto', 'Interfone', 'Jardim', 'Piscina Coletiva', 'Piscina Infantil', 'Playground', 'Portaria 24 horas', 'Quadra de Esportes', 'Quiosque', 'Sala Fitness', 'Salão de Festas', 'Salão de Jogos']",,https://maximoveis.com.br/imovel/5049/apartamento-2-quartos-plaza-gaudi-fazenda-itajai/
132,Apartamento 4 Quartos Centro 306m²,"Avenida Coronel Marcos Konder, 868, Centro - Itajaí/SC","R$ 1.700.000,00",4,4,,3,306 M2,477 M2,"['Elevador', 'Interfone', 'Salão de Festas']","https://www.google.com/maps/embed/v1/place?key=AIzaSyDQYuT0z8Dx2I9npdE3gXPaHZhPmt0SzXo&q=-26.9091648, -48.661008700000025&zoom=16",https://maximoveis.com.br/imovel/742/apartamento-4-quartos-haroldo-villela-centro-itajai/
133,Apartamento 2 Quartos Meia Praia 68m²,"Rua Milton Seara Muller, 473, Meia Praia - Navegantes/SC","R$ 349.316,00",2,1,2,1,68 M2,79 M2,"['Condomínio Fechado', 'Estacionamento']","https://www.google.com/maps/embed/v1/place?key=AIzaSyDQYuT0z8Dx2I9npdE3gXPaHZhPmt0SzXo&q=-26.8594358000000000, -48.6443605000000000&zoom=16",https://maximoveis.com.br/imovel/11361/apartamento-2-quartos-residencial-ocean-breeze-meia-praia-navegantes/
134,Apartamento 2 Quartos Centro 70m²,"Rua Advogado Arão Rebello, 299, Centro - Navegantes/SC","R$ 477.020,00",2,2,3,1,70 M2,,"['Brinquedoteca', 'Elevador', 'Elevador de Serviço', 'Sala Fitness', 'Salão de Festas']","https://www.google.com/maps/embed/v1/place?key=AIzaSyDQYuT0z8Dx2I9npdE3gXPaHZhPmt0SzXo&q=-26.8955214, -48.646361&zoom=16",https://maximoveis.com.br/imovel/12532/apartamento-2-quartos-genebra-residence-centro-navegantes/
135,Apartamento 2 Quartos Nações 109m²,"Rua México, 489, Nações - Balneário Camboriú/SC","R$ 720.000,00",2,1,2,1,109 M2,128 M2,"['Bicicletário', 'Elevador', 'Gás Central']","https://www.google.com/maps/embed/v1/place?key=AIzaSyDQYuT0z8Dx2I9npdE3gXPaHZhPmt0SzXo&q=-26.9823699, -48.6429358&zoom=16",https://maximoveis.com.br/imovel/12783/apartamento-2-quartos-residencial-ouro-brasil-na%C3%A7oes-balneario-camboriu/
136,Apartamento 3 Quartos Fazenda 199m²,"Rua Jorge Tzachel, 412, Fazenda - Itajaí/SC","R$ 2.500.000,00",3,3,5,2,199 M2,254 M2,"['Condomínio Fechado', 'Elevador', 'Interfone', 'Salão de Festas']","https://www.google.com/maps/embed/v1/place?key=AIzaSyDQYuT0z8Dx2I9npdE3gXPaHZhPmt0SzXo&q=-26.919867, -48.650453&zoom=16",https://maximoveis.com.br/imovel/12018/apartamento-3-quartos-pontal-da-barra-fazenda-itajai/
137,Apartamento 2 Quartos Itaipava 49m²,"Avenida Itaipava, 3868, Itaipava - Itajaí/SC","R$ 255.000,00",2,,1,1,49 M2,53 M2,"['Condomínio Fechado', 'Estacionamento', 'Guarita', 'Interfone', 'Piscina Coletiva', 'Piscina Infantil', 'Playground', 'Portaria 24 horas', 'Quadra de Esportes', 'Salão de Festas', 'Vigilância 24 horas', 'Zelador']","https://www.google.com/maps/embed/v1/place?key=AIzaSyDQYuT0z8Dx2I9npdE3gXPaHZhPmt0SzXo&q=-26.9438009, -48.7391063&zoom=16",https://maximoveis.com.br/imovel/12021/apartamento-2-quartos-quinta-das-araucarias-itaipava-itajai/
138,Apartamento 3 Quartos Centro 164m²,"Avenida Joca Brandão, 193, Centro - Itajaí/SC","R$ 1.480.000,00",3,3,4,2,164 M2,222 M2,"['Aquecimento Central', 'Condomínio Fechado', 'Elevador', 'Elevador de Serviço', 'Empresa de Monitoramento', 'Espaço Gourmet', 'Gás Central', 'Guarita', 'Interfone', 'Piscina Coletiva', 'Playground', 'Portaria 24 horas', 'Sala Fitness', 'Salão de Festas', 'Salão de Jogos']","https://www.google.com/maps/embed/v1/place?key=AIzaSyDQYuT0z8Dx2I9npdE3gXPaHZhPmt0SzXo&q=-26.911057988076013, -48.655530090213006&zoom=16",https://maximoveis.com.br/imovel/4780/apartamento-3-quartos-residencial-monet-centro-itajai/
139,Apartamento 2 Quartos Itaipava 44m²,"Rua Maria De Souza Gonçalves, 38, Itaipava - Itajaí/SC","R$ 215.000,00",2,,1,1,44 M2,49 M2,"['Churrasqueira Condominial', 'Condomínio Fechado', 'Estacionamento', 'Interfone', 'Piscina Coletiva', 'Playground', 'Quadra de Esportes', 'Salão de Festas']","https://www.google.com/maps/embed/v1/place?key=AIzaSyDQYuT0z8Dx2I9npdE3gXPaHZhPmt0SzXo&q=-26.9434091, -48.7474332&zoom=16",https://maximoveis.com.br/imovel/12707/apartamento-2-quartos-luna-bella-itaipava-itajai/
140,Apartamento 3 Quartos Fazenda 79m²,"Rua Cesário Chaves, 222, Fazenda - Itajaí/SC","R$ 740.000,00",3,1,2,1,79 M2,100 M2,"['Elevador', 'Espaço Gourmet', 'Piscina Coletiva', 'Piscina Infantil', 'Portaria 24 horas', 'Quadra de Esportes', 'Salão de Festas']","https://www.google.com/maps/embed/v1/place?key=AIzaSyDQYuT0z8Dx2I9npdE3gXPaHZhPmt0SzXo&q=-26.921174, -48.6565512&zoom=16",https://maximoveis.com.br/imovel/11679/apartamento-3-quartos-vila-do-verde-fazenda-itajai/
141,Apartamento 2 Quartos Centro 73m²,"Avenida João Sacavem, 990, Centro - Navegantes/SC","R$ 723.981,00",2,2,3,2,73 M2,,"['Condomínio Fechado', 'Elevador', 'Interfone', 'Piscina Coletiva', 'Porteiro Eletrônico', 'Sala Fitness', 'Salão de Festas', 'Vigilância 24 horas']","https://www.google.com/maps/embed/v1/place?key=AIzaSyDQYuT0z8Dx2I9npdE3gXPaHZhPmt0SzXo&q=-26.9023079, -48.644498999999996&zoom=16",https://maximoveis.com.br/imovel/6836/apartamento-2-quartos-990-square-centro-navegantes/
142,Apartamento 3 Quartos Praia Brava 83m²,"Rua Aririba, 71, Praia Brava - Itajaí/SC","R$ 1.650.000,00",3,1,2,2,83 M2,123 M2,"['Elevador', 'Espaço Gourmet', 'Piscina Coletiva', 'Piscina Infantil', 'Playground', 'Sala Fitness', 'Salão de Festas', 'Terraço Coletivo']","https://www.google.com/maps/embed/v1/place?key=AIzaSyDQYuT0z8Dx2I9npdE3gXPaHZhPmt0SzXo&q=-26.9542472, -48.6411941&zoom=16",https://maximoveis.com.br/imovel/12679/apartamento-3-quartos-brava-view-praia-brava-itajai/
143,Apartamento 2 Quartos São Vicente 58m²,"Rua Higina De Andrade Correa, 312, São Vicente - Itajaí/SC","R$ 310.000,00",2,,1,1,58 M2,63 M2,[],"https://www.google.com/maps/embed/v1/place?key=AIzaSyDQYuT0z8Dx2I9npdE3gXPaHZhPmt0SzXo&q=-26.9105046, -48.7042688&zoom=16",https://maximoveis.com.br/imovel/12580/apartamento-2-quartos-condominio-residencial-victoria-sao-vicente-itajai/
144,Apartamento 3 Quartos Centro 136m²,"Avenida Santos Dumont, 465, Centro - Navegantes/SC","R$ 640.000,00",3,1,2,2,136 M2,181 M2,['Elevador'],"https://www.google.com/maps/embed/v1/place?key=AIzaSyDQYuT0z8Dx2I9npdE3gXPaHZhPmt0SzXo&q=-26.896238, -48.6564209&zoom=16",https://maximoveis.com.br/imovel/1351/apartamento-3-quartos-navecenter-centro-navegantes/
145,Apartamento 3 Quartos São Pedro 155m²,"Avenida Prefeito Cirino Adolfo Cabral, 555, São Pedro - Navegantes/SC","R$ 2.600.000,00",3,3,4,2,155 M2,211 M2,"['Brinquedoteca', 'Elevador', 'Elevador de Serviço', 'Interfone', 'Piscina Coletiva', 'Sala Fitness', 'Salão de Festas', 'Salão de Jogos']","https://www.google.com/maps/embed/v1/place?key=AIzaSyDQYuT0z8Dx2I9npdE3gXPaHZhPmt0SzXo&q=-26.9038133, -48.64438970000003&zoom=16",https://maximoveis.com.br/imovel/10904/apartamento-3-quartos-diamond-tower-sao-pedro-navegantes/
146,Apartamento 2 Quartos Vila Operária 74m²,"Rua Duque De Caxias, 497, Vila Operária - Itajaí/SC","R$ 660.000,00",2,1,2,1,74 M2,98 M2,"['Elevador', 'Interfone', 'Piscina Coletiva', 'Salão de Festas']","https://www.google.com/maps/embed/v1/place?key=AIzaSyDQYuT0z8Dx2I9npdE3gXPaHZhPmt0SzXo&q=-26.911657, -48.6731817&zoom=16",https://maximoveis.com.br/imovel/12647/apartamento-2-quartos-flor-de-liz-vila-operaria-itajai/
147,Apartamento 12 Quartos Cordeiros 531m²,"Rua José Rosa, 483, Cordeiros - Itajaí/SC","R$ 1.200.000,00",12,,12,6,531 M2,502 M2,[],"https://www.google.com/maps/embed/v1/place?key=AIzaSyDQYuT0z8Dx2I9npdE3gXPaHZhPmt0SzXo&q=-26.8924358, -48.7032037&zoom=16",https://maximoveis.com.br/imovel/11462/apartamento-12-quartos-cordeiros-itajai/
